msgid,msgstr,html_original,html_translation
<code>Command</code>: x2many commands namespace,<code>Команда</code>: x2many команди именски простор,"<code>, </code>","<code>, </code>"
<code>UserError</code>: exception class for raising user-facing warning messages,<code>UserError</code>: класа на исклучоци за прикажување предупредувачки пораки до корисникот,"<code>, </code>","<code>, </code>"
<code>_logger.info(message)</code>: logger to emit messages in server logs,<code>_logger.info(message)</code>: логер за емитување пораки во серверските логови,"<code>, </code>","<code>, </code>"
<code>datetime</code> (Python module),<code>datetime</code> (Python модул),"<code>, </code>","<code>, </code>"
<code>dateutil</code> (Python module),<code>dateutil</code> (Python модул),"<code>, </code>","<code>, </code>"
<code>env</code>: environment on which the action is triggered,<code>env</code>: околина на која се активира акцијата,"<code>, </code>","<code>, </code>"
<code>float_compare()</code>: utility function to compare floats based on a specific precision,<code>float_compare()</code>: помошна функција за споредба на пловечки броеви врз основа на специфична прецизност,"<code>, </code>","<code>, </code>"
"<code>log(message, level='info')</code>: logging function to record debug information in <code>ir.logging</code> table","<code>log(message, level='info')</code>: функција за логирање на дебаг информации во табелата <code>ir.logging</code>","<code>, </code>, <code>, </code>","<code>, </code>, <code>, </code>"
<code>model</code>: model of the record on which the action is triggered; is a void recordset,<code>model</code>: модел на записот на кој се активира акцијата; е празен сет на записи,"<code>, </code>","<code>, </code>"
<code>record</code>: record on which the action is triggered,<code>record</code>: запис на кој се активира акцијата,"<code>, </code>","<code>, </code>"
<code>record</code>: record on which the action is triggered; may be be void,<code>record</code>: запис на кој се активира акцијата; може да биде ништовен,"<code>, </code>","<code>, </code>"
<code>records</code>: recordset of all records on which the action is triggered in multi mode,<code>записи</code>: сет на записи од сите записи на кои се активира акцијата во мулти-режим,"<code>, </code>","<code>, </code>"
<code>records</code>: recordset of all records on which the action is triggered in multi mode; may be void,<code>записи</code>: сет од сите записи на кои се активира акцијата во мулти-режим; може да биде празен,"<code>, </code>","<code>, </code>"
<code>self</code> (the set of records to compute),<code>self</code> (множеството записи за пресметување),"<code>, </code>","<code>, </code>"
<code>time</code> (Python module),<code>време</code> (Python модул),"<code>, </code>","<code>, </code>"
