msgid,msgstr,placeholders_original,placeholders_translation
"

This seems to be a multi-company issue, you might be able to access the record by switching to the company: %s.","

Ова изгледа како проблем што вклучува повеќе компании, можеби ќе можете да пристапите до записот со префрлување на компанијата: %s.",%s,%s
"
User: %(user)s
Fields:
%(fields_list)s","
Корисник: %(user)s Полиња: %(fields_list)s","%(user)s, %(fields_list)s","%(user)s, %(fields_list)s"
"""group_by"" value must be a string %(attribute)s=“%(value)s”","Вредноста на ""group_by"" мора да биде стринг %(attribute)s=""%(value)s""","%(attribute)s, %(value)s","%(attribute)s, %(value)s"
%(action_name)s is not a valid action on %(model_name)s,%(action_name)s не е валидна акција на %(model_name)s,"%(action_name)s, %(model_name)s","%(action_name)s, %(model_name)s"
%(company_currency_name)s per %(rate_currency_name)s,%(company_currency_name)s по %(rate_currency_name)s,"%(company_currency_name)s, %(rate_currency_name)s","%(company_currency_name)s, %(rate_currency_name)s"
%(integral_amount)s %(currency_unit)s,%(integral_amount)s %(currency_unit)s,"%(integral_amount)s, %(currency_unit)s","%(integral_amount)s, %(currency_unit)s"
%(integral_amount)s %(currency_unit)s and %(fractional_amount)s %(currency_subunit)s,%(integral_amount)s %(currency_unit)s и %(fractional_amount)s %(currency_subunit)s,"%(integral_amount)s, %(currency_unit)s, %(fractional_amount)s, %(currency_subunit)s","%(integral_amount)s, %(currency_unit)s, %(fractional_amount)s, %(currency_subunit)s"
%(method)s on %(model)s is private and cannot be called from a button,%(method)s на %(model)s е приватен и не може да се повика од копче,"%(method)s, %(model)s","%(method)s, %(model)s"
"%(previous_message)s

Implicitly accessed through '%(document_kind)s' (%(document_model)s).",%(previous_message)s Имплицитно се пристапува преку '%(document_kind)s' (%(document_model)s).,"%(previous_message)s, %(document_kind)s, %(document_model)s","%(previous_message)s, %(document_kind)s, %(document_model)s"
%(rate_currency_name)s per %(company_currency_name)s,%(rate_currency_name)s по %(company_currency_name)s,"%(rate_currency_name)s, %(company_currency_name)s","%(rate_currency_name)s, %(company_currency_name)s"
"%(xmlid)s is of type %(xmlid_model)s, expected a subclass of ir.actions.actions","%(xmlid)s е од типот %(xmlid_model)s, се очекува подкласа на ir.actions.actions","%(xmlid)s, %(xmlid_model)s","%(xmlid)s, %(xmlid_model)s"
"%d - Day of the month [01,31].""","%d - Ден од месецот [01,31].""",%d,%d
%s (Dedicated Outgoing Mail Server):,%s (посветен сервер за испраќање пошта):,%s,%s
%s (copy),%s (копија),%s,%s
%s per Unit,%s по единица,%s,%s
"'%(value)s' does not seem to be a valid Property value for field '%%(field)s'. Each property need at least 'name', 'type' and 'string' attribute.","'%(value)s' не изгледа да е валидна вредност за својството '%%(field)s'. Секое својство треба да има најмалку атрибутите 'name', 'type' и 'string'.","%(value)s, %(field)s","%(value)s, %(field)s"
'%(value)s' does not seem to be a valid Selection value for '%(label_property)s' (subfield of '%%(field)s' field).,'%(value)s' не изгледа да е валидна вредност за '%(label_property)s' (подполе на полето '%%(field)s').,"%(value)s, %(label_property)s, %(field)s","%(value)s, %(label_property)s, %(field)s"
'%(value)s' does not seem to be a valid Tag value for '%(label_property)s' (subfield of '%%(field)s' field).,'%(value)s' не изгледа да е валидна вредност за '%(label_property)s' (подполе на полето '%%(field)s').,"%(value)s, %(label_property)s, %(field)s","%(value)s, %(label_property)s, %(field)s"
'%(value)s' does not seem to be an float for field '%(label_property)s' property (subfield of '%%(field)s' field).,'%(value)s' не изгледа да е float за својството на полето '%(label_property)s' (подполе на полето '%%(field)s').,"%(value)s, %(label_property)s, %(field)s","%(value)s, %(label_property)s, %(field)s"
'%(value)s' does not seem to be an integer for field '%(label_property)s' property (subfield of '%%(field)s' field).,'%(value)s' не изгледа да е цел број за својството на полето '%(label_property)s' (подполе на полето '%%(field)s').,"%(value)s, %(label_property)s, %(field)s","%(value)s, %(label_property)s, %(field)s"
'%s' does not seem to be a number for field '%%(field)s','%s' не изгледа како број за полето '%%(field)s',"%s, %(field)s","%s, %(field)s"
'%s' does not seem to be a valid JSON for field '%%(field)s','%s' не изгледа како валиден JSON за поле '%%(field)s',"%s, %(field)s","%s, %(field)s"
'%s' does not seem to be a valid date for field '%%(field)s','%s' не изгледа како валидна дата за поле '%%(field)s',"%s, %(field)s","%s, %(field)s"
'%s' does not seem to be a valid datetime for field '%%(field)s','%s' не изгледа како валиден датум и време за полето '%%(field)s',"%s, %(field)s","%s, %(field)s"
'%s' does not seem to be an integer for field '%%(field)s','%s' не изгледа да е цел број за поле '%%(field)s',"%s, %(field)s","%s, %(field)s"
"(Record: %(record)s, User: %(user)s)","(Запис: %(record)s, Корисник: %(user)s)","%(record)s, %(user)s","%(record)s, %(user)s"
- %(description)s (%(model)s),- %(description)s (%(model)s),"%(description)s, %(model)s","%(description)s, %(model)s"
- Only a root company can be set on “%(record)s”. Currently set to “%(company)s”,"- Само матична компанија може да се постави на ""%(record)s"". Во моментов е поставено на ""%(company)s""","%(record)s, %(company)s","%(record)s, %(company)s"
- Record is company “%(company)s” and “%(field)s” (%(fname)s: %(values)s) belongs to another company.,"- Записот е на компанијата ""%(company)s"" и ""%(field)s"" (%(fname)s: %(values)s) припаѓа на друга компанија.","%(company)s, %(field)s, %(fname)s, %(values)s","%(company)s, %(field)s, %(fname)s, %(values)s"
- element “%(node)s” is shown in the view for groups: %(groups)s,"- елементот ""%(node)s"" се прикажува во прегледот за групи: %(groups)s","%(node)s, %(groups)s","%(node)s, %(groups)s"
- field “%(name)s” does not exist in model “%(model)s”.,"- полето ""%(name)s"" не постои во моделот ""%(model)s"".","%(name)s, %(model)s","%(name)s, %(model)s"
- field “%(name)s” is accessible for groups: %(field_groups)s,"- полето ""%(name)s"" е достапно за групи: %(field_groups)s","%(name)s, %(field_groups)s","%(name)s, %(field_groups)s"
- “%(record)s” belongs to company “%(company)s” and “%(field)s” (%(fname)s: %(values)s) belongs to another company.,"- ""%(record)s"" припаѓа на компанијата ""%(company)s"" и ""%(field)s"" (%(fname)s: %(values)s) припаѓа на друга компанија.","%(record)s, %(company)s, %(field)s, %(fname)s, %(values)s","%(record)s, %(company)s, %(field)s, %(fname)s, %(values)s"
"4. %d, %m         ==&gt; 05, 12","4. %d, %m ==> 05, 12",%d,%d
"<span colspan=""2"">Current Year with Century: %(year)s</span>
                                <span colspan=""2"">Current Year without Century: %(y)s</span>
                                <span colspan=""2"">Month: %(month)s</span>
                                <span colspan=""2"">Day: %(day)s</span>","<span colspan=""2"">Тековна година со век: %(year)s</span> <span colspan=""2"">Тековна година без век: %(y)s</span> <span colspan=""2"">Месец: %(month)s</span> <span colspan=""2"">Ден: %(day)s</span>","%(year)s, %(y)s, %(month)s, %(day)s","%(year)s, %(y)s, %(month)s, %(day)s"
"<span colspan=""2"">Day of the Year: %(doy)s</span>
                                <span colspan=""2"">Week of the Year: %(woy)s</span>
                                <span colspan=""2"">Day of the Week (0:Monday): %(weekday)s</span>","<span colspan=""2"">Ден од годината: %(doy)s</span> <span colspan=""2"">Недела од годината: %(woy)s</span> <span colspan=""2"">Ден од неделата (0:Понеделник): %(weekday)s</span>","%(doy)s, %(woy)s, %(weekday)s","%(doy)s, %(woy)s, %(weekday)s"
"<span colspan=""2"">Hour 00-&gt;24: %(h24)s</span>
                                <span colspan=""2"">Hour 00-&gt;12: %(h12)s</span>
                                <span colspan=""2"">Minute: %(min)s</span>
                                <span colspan=""2"">Second: %(sec)s</span>","<span colspan=""2"">Час 00->24: %(h24)s</span> <span colspan=""2"">Час 00->12: %(h12)s</span>
                                <span colspan=""2"">Минута: %(min)s</span> <span colspan=""2"">Секунда: %(sec)s</span>","%(h24)s, %(h12)s, %(min)s, %(sec)s","%(h24)s, %(h12)s, %(min)s, %(sec)s"
"A <graph> can only contains <field> nodes, found a <%s>","A <graph> може да содржи само <field> јазли, пронајдени во <%s>",%s,%s
ASCII characters are required for %(value)s in %(field)s,ASCII-знаци се потребни за %(value)s во %(field)s,"%(value)s, %(field)s","%(value)s, %(field)s"
Action %(action_reference)s (id: %(action_id)s) does not exist for button of type action.,Action %(action_reference)s (id: %(action_id)s) не постои за копче од типот action.,"%(action_reference)s, %(action_id)s","%(action_reference)s, %(action_id)s"
"Ambiguous specification for field '%(field)s', only provide one of name, external id or database id","Двосмислена спецификација за полето '%(field)s', наведете само еден од име, надворешен ИД или ИД на базата на податоци",%(field)s,%(field)s
"An SMTP exception occurred. Check port number and connection security type.
 %s",Се случи SMTP исклучок. Проверете го бројот на портата и типот на безбедност на врската. %s,%s,%s
"An SSL exception occurred. Check connection security type.
 %s",Се појави SSL исклучок. Проверете го типот на безбедност на врската. %s,%s,%s
"An option is not supported by the server:
 %s",Опцијата не е поддржана од серверот: %s,%s,%s
Bad file format: %s,Погрешен формат на датотека: %s,%s,%s
Barcode %s,Баркод %s,%s,%s
"Blame the following rules:
%s",Обвинете ги следниве правила: %s,%s,%s
Cannot aggregate on %s parameter,Не може да се агрегира на параметарот %s,%s,%s
Cannot create new '%s' records from their name alone. Please create those records manually and try importing again.,"Не може да се креираат нови записи ""%s"" само по нивното име. Ве молиме креирајте ги тие записи рачно и обидете се повторно да увезете.",%s,%s
Cannot groupby on %s parameter,Не може да се групира по параметарот %s,%s,%s
"Cannot rename/delete fields that are still present in views:
Fields: %(fields)s
View: %(view)s",Не може да се преименуваат/избришат полиња што сè уште се присутни во прегледите: Полиња: %(fields)s Преглед: %(view)s,"%(fields)s, %(view)s","%(fields)s, %(view)s"
Cannot upgrade module “%s”. It is not installed.,"Не може да се надгради модулот ""%s"". Не е инсталиран.",%s,%s
Company %(company_name)s is not in the allowed companies for user %(user_name)s (%(company_allowed)s).,Компанијата %(company_name)s не е меѓу дозволените компании за корисникот %(user_name)s (%(company_allowed)s).,"%(company_name)s, %(user_name)s, %(company_allowed)s","%(company_name)s, %(user_name)s, %(company_allowed)s"
"Connection Test Failed! Here is what we got instead:
 %s",Тестот за поврзување не успеа! Еве што добивме наместо тоа: %s,%s,%s
"Could not load your certificate / private key. 
%s",Не може да се вчита вашиот сертификат / приватен клуч. %s,%s,%s
